MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
Blood Red Sky,(2021),action horror thriller,6.1,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"Director: Peter Thorwarth | Stars: Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti",21062,121,0.0,2021,Peter Thorwarth,Peri Baumeister Carl Anton Koch Alexander Scheer Kais Setti,blood red sky action horror thriller a woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight. peter thorwarth peri baumeister carl anton koch alexander scheer kais setti
Masters of the Universe: Revelation,(2021– ),animation action adventure,5.0,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"Stars: Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill",17870,25,0.0,2021,,Chris Wood Sarah Michelle Gellar Lena Headey Mark Hamill,masters of the universe: revelation animation action adventure the war for eternia begins again in what may be the final battle between he-man and skeletor. a new animated series from writer-director kevin smith. chris wood sarah michelle gellar lena headey mark hamill
The Walking Dead,(2010–2022),drama horror thriller,8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Stars: Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",885805,44,0.0,2010,,Andrew Lincoln Norman Reedus Melissa McBride Lauren Cohan,the walking dead drama horror thriller sheriff deputy rick grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive. andrew lincoln norman reedus melissa mcbride lauren cohan
Rick and Morty,(2013– ),animation adventure comedy,9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Stars: Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",414849,23,0.0,2013,,Justin Roiland Chris Parnell Spencer Grammer Sarah Chalke,rick and morty animation adventure comedy an animated series that follows the exploits of a super scientist and his not-so-bright grandson. justin roiland chris parnell spencer grammer sarah chalke
Army of Thieves,(2021),action crime horror,0.0,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","Director: Matthias Schweighöfer | Stars: Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin",0,0,0.0,2021,Matthias Schweighöfer,Matthias Schweighöfer Nathalie Emmanuel Ruby O. Fee Stuart Martin,"army of thieves action crime horror a prequel, set before the events of army of the dead, which focuses on german safecracker ludwig dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse. matthias schweighöfer matthias schweighöfer nathalie emmanuel ruby o. fee stuart martin"
Outer Banks,(2020– ),action crime drama,7.6,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"Stars: Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss",25858,50,0.0,2020,,Chase Stokes Madelyn Cline Madison Bailey Jonathan Daviss,outer banks action crime drama a group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret. chase stokes madelyn cline madison bailey jonathan daviss
The Last Letter from Your Lover,(2021),drama romance,6.8,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,"Director: Augustine Frizzell | Stars: Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones",5283,110,0.0,2021,Augustine Frizzell,Shailene Woodley Joe Alwyn Wendy Nottingham Felicity Jones,the last letter from your lover drama romance a pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965. augustine frizzell shailene woodley joe alwyn wendy nottingham felicity jones
Dexter,(2006–2013),crime drama mystery,8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Stars: Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",665387,53,0.0,2006,,Michael C. Hall Jennifer Carpenter David Zayas James Remar,"dexter crime drama mystery by day, mild-mannered dexter is a blood-spatter analyst for the miami police. but at night, he is a serial killer who only targets other murderers. michael c. hall jennifer carpenter david zayas james remar"
Never Have I Ever,(2020– ),comedy,7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","Stars: Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe",34530,30,0.0,2020,,Maitreyi Ramakrishnan Poorna Jagannathan Darren Barnet John McEnroe,"never have i ever comedy the complicated life of a modern-day first generation indian american teenage girl, inspired by mindy kaling's own childhood. maitreyi ramakrishnan poorna jagannathan darren barnet john mcenroe"
Virgin River,(2019– ),drama romance,7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","Stars: Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson",27279,44,0.0,2019,,Alexandra Breckenridge Martin Henderson Colin Lawrence Tim Matheson,"virgin river drama romance seeking a fresh start, nurse practitioner melinda monroe moves from los angeles to a remote northern california town and is surprised by what and who she finds. alexandra breckenridge martin henderson colin lawrence tim matheson"
